,Date,Close,Open,High,Low,Fluctuations
363,2021- 10- 07,94.22,94.23,94.28,94.08,-0.05%
364,2021- 10- 06,94.27,93.99,94.45,93.98,0.31%
365,2021- 10- 05,93.97,93.83,94.07,93.81,0.21%
366,2021- 10- 04,93.78,94.07,94.1,93.68,-0.28%
367,2021- 10- 01,94.04,94.31,94.39,93.99,-0.21%
368,2021- 09- 30,94.23,94.35,94.5,94.11,-0.11%
369,2021- 09- 29,94.34,93.72,94.43,93.67,0.61%
370,2021- 09- 28,93.77,93.41,93.81,93.36,0.41%
371,2021- 09- 27,93.38,93.28,93.49,93.21,0.06%
372,2021- 09- 24,93.33,93.07,93.42,93.05,0.32%
373,2021- 09- 23,93.03,93.48,93.52,92.98,-0.46%
374,2021- 09- 22,93.46,93.22,93.51,92.99,0.28%
375,2021- 09- 21,93.2,93.24,93.29,93.05,-0.08%
376,2021- 09- 20,93.28,93.25,93.45,93.18,0.09%
377,2021- 09- 17,93.19,92.88,93.25,92.76,0.28%
378,2021- 09- 16,92.93,92.46,92.96,92.46,0.41%
379,2021- 09- 15,92.55,92.68,92.68,92.42,-0.08%
380,2021- 09- 14,92.62,92.62,92.68,92.32,-0.06%
381,2021- 09- 13,92.68,92.61,92.89,92.57,0.10%
382,2021- 09- 10,92.58,92.53,92.65,92.33,0.11%
383,2021- 09- 09,92.48,92.71,92.76,92.38,-0.19%
384,2021- 09- 08,92.65,92.54,92.86,92.47,0.15%
385,2021- 09- 07,92.51,92.2,92.57,92.1,0.52%
386,2021- 09- 06,92.04,92.12,92.31,92.04,0.00%
387,2021- 09- 03,92.04,92.22,92.26,91.95,-0.21%
388,2021- 09- 02,92.22,92.51,92.54,92.21,-0.24%
389,2021- 09- 01,92.45,92.66,92.79,92.38,-0.19%
390,2021- 08- 31,92.63,92.71,92.75,92.4,-0.03%
391,2021- 08- 30,92.65,92.68,92.79,92.6,-0.04%
392,2021- 08- 27,92.69,93.03,93.18,92.63,-0.40%
393,2021- 08- 26,93.06,92.83,93.08,92.81,0.26%
394,2021- 08- 25,92.82,92.88,93.13,92.81,-0.07%
395,2021- 08- 24,92.89,92.99,93.08,92.81,-0.07%
396,2021- 08- 23,92.96,93.46,93.5,92.95,-0.58%
397,2021- 08- 20,93.5,93.56,93.73,93.43,-0.08%
398,2021- 08- 19,93.57,93.14,93.58,93.14,0.46%
399,2021- 08- 18,93.14,93.14,93.26,92.96,0.01%
400,2021- 08- 17,93.13,92.62,93.17,92.61,0.54%
401,2021- 08- 16,92.63,92.52,92.66,92.48,0.12%
402,2021- 08- 13,92.52,92.97,93.01,92.47,-0.56%
403,2021- 08- 12,93.04,92.89,93.04,92.85,0.12%
404,2021- 08- 11,92.92,93.07,93.19,92.8,-0.14%
405,2021- 08- 10,93.06,92.98,93.14,92.94,0.12%
406,2021- 08- 09,92.94,92.78,92.99,92.72,0.16%
407,2021- 08- 06,92.8,92.26,92.84,92.26,0.60%
408,2021- 08- 05,92.24,92.28,92.35,92.11,-0.03%
409,2021- 08- 04,92.27,92.04,92.31,91.82,0.21%
410,2021- 08- 03,92.08,92.06,92.15,91.89,0.04%
411,2021- 08- 02,92.05,92.09,92.17,91.91,-0.14%
412,2021- 07- 30,92.17,91.85,92.2,91.78,0.34%
413,2021- 07- 29,91.86,92.26,92.29,91.86,-0.50%
414,2021- 07- 28,92.32,92.46,92.75,92.24,-0.12%
415,2021- 07- 27,92.43,92.63,92.84,92.32,-0.23%
416,2021- 07- 26,92.65,92.91,92.96,92.53,-0.28%
417,2021- 07- 23,92.91,92.81,93.02,92.78,0.10%
418,2021- 07- 22,92.82,92.8,92.92,92.51,0.07%
419,2021- 07- 21,92.75,92.97,93.19,92.73,-0.24%
420,2021- 07- 20,92.97,92.88,93.17,92.8,0.09%
421,2021- 07- 19,92.89,92.71,93.04,92.64,0.22%
422,2021- 07- 16,92.69,92.59,92.76,92.53,0.07%
423,2021- 07- 15,92.62,92.39,92.69,92.27,0.23%
424,2021- 07- 14,92.41,92.8,92.83,92.35,-0.37%
425,2021- 07- 13,92.75,92.23,92.81,92.14,0.53%
426,2021- 07- 12,92.26,92.1,92.42,92.08,0.14%
427,2021- 07- 09,92.13,92.36,92.54,92.09,-0.31%
