,Date,Google_trends
996,2020-03-23,17.161290322580644
997,2020-03-24,17.032258064516128
998,2020-03-25,16.903225806451616
999,2020-03-26,16.774193548387096
1000,2020-03-27,16.64516129032258
1001,2020-03-28,16.516129032258064
1002,2020-03-29,16.387096774193548
1003,2020-03-30,16.258064516129032
1004,2020-03-31,16.129032258064516
1005,2020-04-01,16.0
1006,2020-04-02,16.166666666666668
1007,2020-04-03,16.333333333333332
1008,2020-04-04,16.5
1009,2020-04-05,16.666666666666668
1010,2020-04-06,16.833333333333332
1011,2020-04-07,17.0
1012,2020-04-08,17.166666666666668
1013,2020-04-09,17.333333333333332
1014,2020-04-10,17.5
1015,2020-04-11,17.666666666666668
1016,2020-04-12,17.833333333333332
1017,2020-04-13,18.0
1018,2020-04-14,18.166666666666668
1019,2020-04-15,18.33333333333333
1020,2020-04-16,18.5
1021,2020-04-17,18.666666666666668
1022,2020-04-18,18.83333333333333
1023,2020-04-19,19.0
1024,2020-04-20,19.166666666666668
1025,2020-04-21,19.33333333333333
1026,2020-04-22,19.5
1027,2020-04-23,19.666666666666668
1028,2020-04-24,19.83333333333333
1029,2020-04-25,20.0
1030,2020-04-26,20.166666666666664
1031,2020-04-27,20.33333333333333
1032,2020-04-28,20.5
1033,2020-04-29,20.666666666666664
1034,2020-04-30,20.83333333333333
1035,2020-05-01,21.0
1036,2020-05-02,20.741935483870968
1037,2020-05-03,20.48387096774193
1038,2020-05-04,20.225806451612907
1039,2020-05-05,19.967741935483872
1040,2020-05-06,19.70967741935484
1041,2020-05-07,19.451612903225808
1042,2020-05-08,19.193548387096776
1043,2020-05-09,18.935483870967747
1044,2020-05-10,18.677419354838708
1045,2020-05-11,18.41935483870968
1046,2020-05-12,18.161290322580644
1047,2020-05-13,17.903225806451616
1048,2020-05-14,17.645161290322577
1049,2020-05-15,17.387096774193548
1050,2020-05-16,17.129032258064516
1051,2020-05-17,16.870967741935484
1052,2020-05-18,16.612903225806452
1053,2020-05-19,16.35483870967742
1054,2020-05-20,16.096774193548384
1055,2020-05-21,15.838709677419354
1056,2020-05-22,15.580645161290324
1057,2020-05-23,15.32258064516129
1058,2020-05-24,15.06451612903226
1059,2020-05-25,14.806451612903226
1060,2020-05-26,14.548387096774194
1061,2020-05-27,14.290322580645164
1062,2020-05-28,14.032258064516126
1063,2020-05-29,13.774193548387096
1064,2020-05-30,13.516129032258064
1065,2020-05-31,13.258064516129034
1066,2020-06-01,13.0
1067,2020-06-02,13.033333333333331
1068,2020-06-03,13.066666666666665
1069,2020-06-04,13.1
1070,2020-06-05,13.133333333333333
1071,2020-06-06,13.166666666666664
1072,2020-06-07,13.2
1073,2020-06-08,13.233333333333333
1074,2020-06-09,13.266666666666667
1075,2020-06-10,13.3
1076,2020-06-11,13.333333333333336
1077,2020-06-12,13.366666666666667
1078,2020-06-13,13.4
1079,2020-06-14,13.433333333333335
1080,2020-06-15,13.466666666666669
1081,2020-06-16,13.5
1082,2020-06-17,13.533333333333331
1083,2020-06-18,13.566666666666665
1084,2020-06-19,13.6
1085,2020-06-20,13.633333333333333
1086,2020-06-21,13.666666666666664
1087,2020-06-22,13.7
1088,2020-06-23,13.733333333333333
1089,2020-06-24,13.766666666666666
1090,2020-06-25,13.8
1091,2020-06-26,13.833333333333336
1092,2020-06-27,13.866666666666667
1093,2020-06-28,13.9
1094,2020-06-29,13.933333333333335
1095,2020-06-30,13.966666666666669
1096,2020-07-01,14.0
1097,2020-07-02,14.032258064516132
1098,2020-07-03,14.06451612903226
1099,2020-07-04,14.096774193548386
1100,2020-07-05,14.129032258064516
1101,2020-07-06,14.161290322580646
1102,2020-07-07,14.193548387096774
1103,2020-07-08,14.225806451612904
1104,2020-07-09,14.258064516129034
1105,2020-07-10,14.290322580645164
1106,2020-07-11,14.32258064516129
1107,2020-07-12,14.35483870967742
1108,2020-07-13,14.387096774193546
1109,2020-07-14,14.419354838709678
1110,2020-07-15,14.451612903225806
1111,2020-07-16,14.483870967741936
1112,2020-07-17,14.516129032258064
1113,2020-07-18,14.548387096774194
1114,2020-07-19,14.580645161290322
1115,2020-07-20,14.612903225806454
1116,2020-07-21,14.64516129032258
1117,2020-07-22,14.67741935483871
1118,2020-07-23,14.709677419354836
1119,2020-07-24,14.741935483870966
1120,2020-07-25,14.774193548387096
1121,2020-07-26,14.806451612903226
1122,2020-07-27,14.838709677419354
1123,2020-07-28,14.870967741935484
1124,2020-07-29,14.903225806451614
1125,2020-07-30,14.93548387096774
1126,2020-07-31,14.967741935483874
1127,2020-08-01,15.0
1128,2020-08-02,14.93548387096774
1129,2020-08-03,14.870967741935484
1130,2020-08-04,14.806451612903226
1131,2020-08-05,14.741935483870966
1132,2020-08-06,14.67741935483871
1133,2020-08-07,14.612903225806454
1134,2020-08-08,14.548387096774194
1135,2020-08-09,14.483870967741936
1136,2020-08-10,14.419354838709678
1137,2020-08-11,14.35483870967742
1138,2020-08-12,14.290322580645164
1139,2020-08-13,14.225806451612904
1140,2020-08-14,14.161290322580646
1141,2020-08-15,14.096774193548386
1142,2020-08-16,14.032258064516126
1143,2020-08-17,13.967741935483874
1144,2020-08-18,13.903225806451614
1145,2020-08-19,13.838709677419354
1146,2020-08-20,13.774193548387096
1147,2020-08-21,13.709677419354836
1148,2020-08-22,13.64516129032258
1149,2020-08-23,13.580645161290322
1150,2020-08-24,13.516129032258064
1151,2020-08-25,13.451612903225806
1152,2020-08-26,13.387096774193546
1153,2020-08-27,13.32258064516129
1154,2020-08-28,13.258064516129034
1155,2020-08-29,13.193548387096774
1156,2020-08-30,13.129032258064516
1157,2020-08-31,13.06451612903226
1158,2020-09-01,13.0
